V,delta_V,I,I_SI,delta_I,delta_I_SI,P ,delta_P
1.503,0.0001,-0.54,-0.00054,0.001,0.000001,0.00081162,1.50397E-06
1.603,0.0001,-0.532,-0.000532,0.001,0.000001,0.000852796,1.60388E-06
1.703,0.0001,-0.524,-0.000524,0.001,0.000001,0.000892372,1.70381E-06
1.8029,0.0001,-0.515,-0.000515,0.001,0.000001,0.000928494,1.80364E-06
1.9024,0.0001,-0.506,-0.000506,0.001,0.000001,0.000962614,1.90307E-06
2.0024,0.0001,-0.496,-0.000496,0.001,0.000001,0.00099319,2.00301E-06
2.1024,0.0001,-0.487,-0.000487,0.001,0.000001,0.001023869,2.10296E-06
2.2025,0.0001,-0.476,-0.000476,0.001,0.000001,0.00104839,2.20301E-06
2.3025,0.0001,-0.465,-0.000465,0.001,0.000001,0.001070663,2.30297E-06
2.403,0.0001,-0.453,-0.000453,0.001,0.000001,0.001088559,2.40343E-06
2.503,0.0001,-0.441,-0.000441,0.001,0.000001,0.001103823,2.50339E-06
2.6031,0.0001,-0.429,-0.000429,0.001,0.000001,0.00111673,2.60345E-06
2.7026,0.0001,-0.415,-0.000415,0.001,0.000001,0.001121579,2.70292E-06
2.8025,0.0001,-0.402,-0.000402,0.001,0.000001,0.001126605,2.80279E-06
2.9026,0.0001,-0.389,-0.000389,0.001,0.000001,0.001129111,2.90286E-06
3.0026,0.0001,-0.373,-0.000373,0.001,0.000001,0.00111997,3.00283E-06
3.1026,0.0001,-0.36,-0.00036,0.001,0.000001,0.001116936,3.10281E-06
3.2025,0.0001,-0.346,-0.000346,0.001,0.000001,0.001108065,3.20269E-06
3.3026,0.0001,-0.332,-0.000332,0.001,0.000001,0.001096463,3.30277E-06
3.4026,0.0001,-0.316,-0.000316,0.001,0.000001,0.001075222,3.40275E-06
3.5026,0.0001,-0.299,-0.000299,0.001,0.000001,0.001047277,3.50273E-06
3.6021,0.0001,-0.28,-0.00028,0.001,0.000001,0.001008588,3.60221E-06
3.7021,0.0001,-0.257,-0.000257,0.001,0.000001,0.00095144,3.70219E-06
3.802,0.0001,-0.231,-0.000231,0.001,0.000001,0.000878262,3.80207E-06
3.9019,0.0001,-0.198,-0.000198,0.001,0.000001,0.000772576,3.90195E-06
4.0017,0.0001,-0.162,-0.000162,0.001,0.000001,0.000648275,4.00173E-06
4.1015,0.0001,-0.117,-0.000117,0.001,0.000001,0.000479876,4.10152E-06
4.2014,0.0001,-0.066,-0.000066,0.001,0.000001,0.000277292,4.20141E-06
4.3011,0.0001,-0.01,-0.00001,0.001,0.000001,0.000043011,4.3011E-06
4.4008,0.0001,0.058,0.000058,0.001,0.000001,0.000255246,4.4008E-06